trip_id,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,trip_distance_km,hour,weekday,weather,traffic_level,trip_duration_minutes
D00020,40.771593738064915,-73.96281588624885,40.717555517845994,-73.85107867838941,18.33,9,0,cloudy,high,77.31
D00021,40.737280329415185,-73.81051977752614,40.762485900483874,-73.86998122809086,7.25,9,5,clear,high,60.51
D00022,40.67368607855911,-73.8795524546935,40.78378854868734,-74.015555823747,22.48,7,1,rain,medium,87.14
D00023,40.65019677526005,-73.92611949817336,40.64424678015366,-73.91558990277123,40.42,9,3,clear,high,126.14
D00024,40.82297441709932,-73.92137234687077,40.81647052089348,-73.84246941170893,15.8,19,5,cloudy,high,72.75
D00025,40.828341134533495,-73.84376847785384,40.75487666991532,-73.83860442956336,4.9,7,1,snow,high,61.58
D00026,40.65198488038839,-73.93078036359142,40.71176854029929,-73.91765529017378,42.21,7,4,rain,high,134.8
D00027,40.84672028922023,-74.0269367740029,40.63030197614485,-73.86691141184934,41.37,9,6,cloudy,medium,116.67
D00028,40.76391403143527,-73.86985389949827,40.66170287595434,-73.99915473053596,4.21,20,3,cloudy,high,40.39
D00029,40.80859789178677,-73.9355875906069,40.72254000892913,-73.830951764724,12.16,7,0,snow,medium,67.55
D00030,40.7891419727218,-73.96249305139185,40.785903690731345,-74.01939261115915,32.33,20,4,cloudy,medium,87.52
D00031,40.796975614799564,-73.9726731300677,40.811241439758554,-74.02479182947094,32.73,20,4,rain,high,107.59
D00032,40.62851109932567,-73.99990065393851,40.65070759699552,-73.86028225896793,10.38,18,2,rain,high,70.05
D00033,40.752853587819025,-73.94536698937343,40.758626520926796,-73.83845011141995,44.08,17,4,rain,medium,129.64
D00034,40.76850290902913,-73.98757776271,40.76529789600592,-74.02008267685669,41.3,8,4,snow,high,141.37
D00035,40.84782816358143,-73.88794438961584,40.66960515251557,-73.87616759216827,26.27,7,0,rain,high,101.91
D00036,40.7197645195724,-73.94870257923434,40.63091535147468,-73.83698801821167,11.76,19,0,rain,high,64.85
D00037,40.76776857981702,-73.84771430718888,40.62657051435917,-73.88661575553591,30.62,19,3,cloudy,high,99.15
D00038,40.8291026120217,-74.02386876710666,40.729913965073266,-73.99517169405658,10.47,8,5,clear,high,63.52
D00039,40.63837742248817,-73.86025157181597,40.755089104864275,-73.91002860351648,16.69,9,6,clear,high,78.04
D00040,40.7430591349887,-74.04587848921504,40.76938432472224,-74.04996644242537,32.6,16,6,clear,high,109.34
D00041,40.602349017394495,-74.0027958439267,40.68636732406387,-73.94583863721456,31.51,17,5,clear,high,106.95
D00042,40.80220734749107,-73.84458208258896,40.69983618779859,-73.94083723537152,33.13,7,6,clear,high,104.79
D00043,40.60865726033913,-73.85316739211571,40.610183032323334,-73.94724691768083,30.53,20,6,cloudy,high,99.03
D00044,40.68743278334477,-73.96960153157575,40.83869041008567,-73.89398275794686,40.61,7,4,cloudy,high,133.12
D00045,40.634051698477165,-73.9276526604967,40.80274280910838,-73.93449630215883,20.0,20,3,snow,medium,74.23
D00046,40.84791642137563,-73.99210893359412,40.83291355442697,-73.82225105279599,11.06,19,3,cloudy,high,58.92
D00047,40.73144741493603,-73.96163216482532,40.80450561849897,-73.93644655867095,34.27,16,6,snow,high,125.09
D00048,40.61456454947632,-73.88289172766477,40.71821555097726,-73.9671838187543,24.87,16,3,cloudy,high,95.72
D00049,40.70473622459847,-73.99669447097924,40.740305382969126,-74.02998824290957,42.55,18,6,snow,high,137.4
D00050,40.835635056359834,-73.87533078178137,40.63737758737471,-73.81227648478291,40.68,17,3,cloudy,medium,112.69
D00051,40.84815322058547,-74.02581147413936,40.82081015354006,-73.96178708923547,25.48,19,1,rain,high,101.6
D00052,40.61485352753223,-73.89537035767408,40.7502612300743,-74.00975447845302,32.19,20,0,cloudy,medium,95.28
D00053,40.84335158795876,-73.8615056008425,40.802233934253294,-73.86525650255051,30.7,16,0,clear,medium,95.57
D00054,40.63919448639711,-73.88230617260213,40.66213032905916,-73.87204028124414,21.53,7,1,snow,high,98.29
D00055,40.736834219534316,-73.81958954157173,40.708961416914676,-73.8817862267605,8.07,9,4,rain,medium,54.57
D00056,40.604862354361735,-73.9022175749426,40.65225877062901,-74.02123128444657,22.65,19,4,rain,high,89.11
D00057,40.62449524850201,-73.89439600931385,40.737966417558304,-73.85854735415747,42.22,16,0,snow,high,140.78
D00058,40.63414642111674,-73.91171309164595,40.818920307898516,-73.83175937067851,38.85,19,6,rain,high,129.51
D00059,40.65396320966816,-73.8583606505234,40.723619892849285,-73.88885714478629,25.39,9,3,clear,high,89.79
D00060,40.610843038766184,-74.03375946631994,40.60991358794612,-73.95934035356422,43.92,18,1,clear,high,133.18
D00061,40.827077023061214,-74.01802021167111,40.68463021388404,-73.8079289591737,13.96,7,1,clear,high,63.43
D00062,40.762153824292135,-73.90159852994434,40.8386512744095,-73.87408430099065,29.05,17,1,cloudy,high,103.12
D00063,40.70969421891775,-73.83755241621675,40.75277897641477,-74.00934202472352,43.76,7,5,snow,high,146.55
D00064,40.739517842453736,-73.90354127545841,40.65444523090751,-73.96918120326883,33.91,8,1,clear,medium,98.08
D00065,40.82112749561912,-73.8353032191063,40.824064657877265,-73.89243829874442,42.69,9,4,snow,high,141.72
D00066,40.76451742429355,-73.84868792530712,40.76619937391523,-73.83064789893366,43.43,17,2,cloudy,high,134.23
D00067,40.73128437727641,-73.96879242703027,40.70706087943677,-73.91291003487085,3.87,9,2,cloudy,high,49.67
D00068,40.810225061932236,-74.03337301717896,40.659979516860375,-73.81529819404025,40.2,20,3,cloudy,high,119.53
D00069,40.63344972498998,-73.85677859513189,40.625540454692064,-73.85521549582188,8.6,18,2,cloudy,medium,50.49
D00070,40.722962071661975,-73.90106045778464,40.70734045417662,-73.96658796920694,36.45,16,6,cloudy,high,113.86
D00071,40.68422524039911,-73.99097350077179,40.6825556959127,-73.80968882454452,19.55,18,5,cloudy,high,80.65
D00072,40.829377950200936,-73.97008291438685,40.848055830214825,-73.80975894270408,8.3,17,0,cloudy,high,58.36
D00073,40.6401526905083,-73.98423293040841,40.761483207209935,-73.93446257663122,33.39,16,1,snow,medium,116.15
D00074,40.63346804646363,-73.98867118822987,40.65395389152591,-73.98382658304322,42.36,9,1,rain,high,139.19
D00075,40.703697984842755,-73.86665587209833,40.79399599367797,-73.9494409820668,8.24,17,2,rain,medium,53.02
D00076,40.737993867121894,-73.82724040272387,40.84293164002098,-74.02000459612796,28.67,16,1,cloudy,high,109.05
D00077,40.75729615732414,-73.92538097699335,40.71043359902843,-73.97768190109471,14.65,7,1,rain,high,73.48
D00078,40.804946839210906,-73.84771086749923,40.78791787472933,-73.80547347092629,17.61,18,6,clear,high,79.96
D00079,40.773907518652,-73.89151172610461,40.64680166210935,-73.80366498500358,6.81,7,2,rain,high,55.42
D00080,40.64139564459227,-73.97603309697317,40.821924752210094,-74.01633594347715,40.9,9,6,snow,high,137.7
D00081,40.61396379352363,-73.90413149137473,40.844761022931785,-74.02291778508125,39.97,16,3,snow,high,134.87
D00082,40.66762554448644,-74.03239762697852,40.72139448402293,-73.83209824945652,17.87,16,3,clear,high,79.77
D00083,40.6875126245821,-74.03138924087024,40.633215564888005,-73.89463279160681,30.8,16,0,clear,high,106.36
D00084,40.63033785236675,-73.91876651629174,40.666372612352475,-74.00591803189877,24.74,7,6,rain,high,100.83
D00085,40.667040613443014,-73.88069453633676,40.76292106413057,-74.034011511167,29.83,19,0,cloudy,medium,91.81
D00086,40.76697687401239,-73.83337940450876,40.765442948816734,-73.9508947643633,5.69,8,0,snow,medium,53.67
D00087,40.693222834112106,-73.83102113862125,40.77841548566619,-73.81114437507594,31.32,16,5,clear,medium,92.88
D00088,40.807873963999015,-73.88285141133267,40.611206558642515,-74.00723221426891,39.64,19,5,cloudy,high,121.44
D00089,40.711321368327745,-73.85435500845351,40.74045802298354,-74.0142898317246,29.09,20,6,cloudy,medium,87.5
D00090,40.6592046270816,-73.8710581697142,40.73016577056766,-74.0176079917704,12.71,20,6,snow,high,66.88
D00091,40.67854518195446,-73.82200518141525,40.819539827121204,-73.80669409041363,32.0,20,2,cloudy,medium,94.38
D00092,40.79832897520569,-74.00456983928478,40.84719314992959,-74.00676534684835,3.08,7,2,clear,high,41.56
D00093,40.84557332403857,-73.99913564654402,40.77588087606267,-74.02356056531063,25.99,17,3,cloudy,medium,85.62
D00094,40.78402664720086,-73.88251924309291,40.745032404121375,-73.8707019579785,44.95,7,0,snow,high,153.67
D00095,40.733899808083976,-74.00107957490081,40.7510398228917,-73.92749865282211,4.99,8,4,clear,high,52.29
D00096,40.788738965137796,-73.89458509009857,40.84767938608426,-74.04342800460567,13.78,17,4,clear,medium,57.52
D00097,40.79656985818599,-73.96232252439131,40.79416550248551,-74.04030439048609,37.21,20,5,snow,high,124.9
D00098,40.80251566890752,-73.94823057973383,40.69065923685489,-73.8983648397485,3.67,16,6,snow,medium,49.74
D00099,40.8058106963199,-73.9517498385868,40.83117405428618,-73.85199664385144,5.67,9,4,rain,medium,50.14
D00100,40.812646483329736,-73.90511636734615,40.81236882181661,-73.9669784146744,26.36,20,3,rain,medium,84.55
D00101,40.710197599966826,-73.83847344001222,40.8293276107624,-73.85593238061426,39.11,8,6,rain,high,128.86
D00102,40.74021156833976,-73.81130812979087,40.65818501182426,-73.91197956964601,11.93,16,0,clear,medium,55.87
D00103,40.650836689291275,-74.03648713010242,40.667743119933974,-73.87512934073317,31.36,18,0,rain,high,113.21
D00104,40.788045823359795,-73.82710539176878,40.70770035416656,-73.89377412854243,10.66,16,4,rain,medium,59.57
D00105,40.83555586912307,-74.04436029774875,40.64779736392915,-74.00650499682276,43.95,8,3,rain,high,140.23
D00106,40.76434948838163,-73.81116901684314,40.828626037617454,-74.02065439870968,18.7,19,5,clear,high,72.24
D00107,40.61176161987219,-73.93149396884888,40.73859399576239,-73.89969850135455,33.86,17,2,rain,high,121.26
D00108,40.80189858388816,-73.93743810105398,40.607604105774314,-73.97004719725379,20.43,8,3,cloudy,high,81.75
D00109,40.798892989238986,-73.80759609514242,40.73813029928892,-73.91946192979465,17.25,17,1,clear,high,73.82
D00110,40.607734346097196,-73.9252071992333,40.60723341993863,-73.80217970332663,13.28,19,1,snow,high,77.42
D00111,40.8160844904346,-73.99988946910132,40.789174384249755,-73.89709630844439,35.7,18,3,clear,medium,108.33
D00112,40.83390820439159,-73.9473164893191,40.69870328414378,-73.91879794321171,22.29,16,5,rain,high,91.53
D00113,40.70507510121513,-73.92153360924547,40.729447618469436,-73.87843188753114,33.48,20,6,rain,high,107.92
D00114,40.6930133125504,-74.03585020791769,40.735526278299304,-73.9709476509581,36.42,8,4,cloudy,high,118.02
D00115,40.61487333555163,-73.8835565211497,40.78462109987917,-73.83416133376726,37.83,17,3,cloudy,high,118.84
D00116,40.62562252379293,-73.84430706744352,40.813484791863374,-74.03192584633604,39.34,8,6,snow,high,132.8
D00117,40.69825273422491,-74.0164221128558,40.627322323392455,-73.81908476128676,11.64,9,3,cloudy,medium,56.26
D00118,40.6372487254965,-74.00344847235245,40.67196128400135,-73.91718246057621,38.63,16,2,clear,high,122.07
D00119,40.65413791177021,-73.89095998912218,40.6425304339525,-73.90581813271284,34.77,9,6,clear,medium,100.89
D00120,40.674178648834065,-73.88010290490882,40.73968767228823,-73.98429314587422,4.41,20,5,clear,high,44.46
