trip_id,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,trip_distance_km,hour,weekday,weather,traffic_level,trip_duration_minutes,created_at
TRIP00563,40.768227,-73.965175,40.700428,-73.972599,11.22,18,2,clear,low,29.31,2026-08-03T18:15:00Z
TRIP00263,40.708917,-73.934978,40.634405,-73.988598,27.92,19,0,clear,high,87.99,2026-08-11T19:15:00Z
TRIP00421,40.686746,-73.95559,40.785182,-73.860929,16.62,7,5,cloudy,low,57.22,2026-08-01T07:15:00Z
TRIP00009,40.666719,-73.891727,40.602297,-74.02147,27.27,3,2,snow,low,72.28,2026-08-09T03:15:00Z
TRIP00567,40.654703,-73.951388,40.766848,-73.847448,7.42,5,5,rain,medium,39.24,2026-08-07T05:15:00Z
TRIP00368,40.64594,-73.904116,40.763417,-73.803793,25.98,21,1,rain,high,85.09,2026-08-04T21:15:00Z
TRIP00463,40.731975,-74.033767,40.602214,-73.898913,24.98,21,6,snow,high,83.94,2026-08-15T21:15:00Z
TRIP00284,40.667569,-73.960047,40.678585,-73.821142,22.55,8,4,snow,medium,77.64,2026-08-04T08:15:00Z
TRIP00176,40.736366,-73.866101,40.841333,-73.821227,27.5,12,5,cloudy,medium,74.73,2026-08-08T12:15:00Z
TRIP00476,40.818447,-73.815094,40.629861,-73.965033,22.18,17,6,rain,medium,80.59,2026-08-28T17:15:00Z
TRIP00543,40.61875,-73.807222,40.660773,-73.946121,5.99,5,6,clear,high,38.83,2026-08-11T05:15:00Z
TRIP00406,40.624464,-73.920624,40.716727,-73.909113,21.78,3,1,cloudy,medium,62.5,2026-08-14T03:15:00Z
TRIP00398,40.67079,-73.819635,40.608077,-73.873936,20.1,13,3,rain,low,53.0,2026-08-06T13:15:00Z
TRIP00017,40.81201,-74.011097,40.724729,-73.949996,25.66,19,4,cloudy,medium,73.63,2026-08-17T19:15:00Z
TRIP00379,40.644382,-73.986609,40.735863,-73.910459,16.22,16,6,cloudy,high,63.32,2026-08-15T16:15:00Z
TRIP00023,40.74498,-73.987005,40.61921,-73.999747,18.63,10,4,cloudy,high,65.23,2026-08-23T10:15:00Z
TRIP00273,40.840838,-73.939694,40.74434,-73.936638,2.34,23,2,snow,low,20.55,2026-08-21T23:15:00Z
TRIP00245,40.822633,-73.850024,40.841965,-73.965577,4.15,4,5,snow,low,25.11,2026-08-21T04:15:00Z
TRIP00375,40.610046,-73.964736,40.83697,-73.864419,24.17,18,3,rain,low,64.37,2026-08-11T18:15:00Z
TRIP00256,40.843964,-73.833515,40.797751,-73.999052,26.06,6,2,rain,low,60.06,2026-08-04T06:15:00Z
TRIP00016,40.825557,-73.820765,40.625699,-73.866008,5.87,7,1,snow,low,31.98,2026-08-16T07:15:00Z
TRIP00033,40.643924,-73.958523,40.847568,-73.912405,23.81,9,1,clear,high,77.45,2026-08-05T09:15:00Z
TRIP00580,40.784217,-73.891668,40.844201,-74.005261,18.47,16,0,clear,medium,56.13,2026-08-20T16:15:00Z
TRIP00163,40.605343,-73.884353,40.742145,-73.920318,23.9,2,2,clear,medium,57.89,2026-08-23T02:15:00Z
TRIP00278,40.748015,-73.975442,40.721938,-73.83206,16.44,23,5,clear,medium,47.3,2026-08-26T23:15:00Z
TRIP00453,40.700649,-73.90883,40.624484,-73.866335,6.88,13,3,snow,low,30.04,2026-08-05T13:15:00Z
TRIP00262,40.721372,-73.926684,40.766936,-73.973457,14.72,19,1,snow,low,55.2,2026-08-10T19:15:00Z
TRIP00060,40.755604,-73.912034,40.791453,-73.836619,5.72,7,3,clear,medium,31.3,2026-08-04T07:15:00Z
TRIP00526,40.812171,-73.908588,40.648771,-74.022236,3.27,8,0,clear,high,36.45,2026-08-22T08:15:00Z
TRIP00341,40.83062,-73.877189,40.755038,-73.883067,10.73,21,3,cloudy,medium,43.11,2026-08-05T21:15:00Z
TRIP00235,40.820223,-73.907662,40.831323,-73.983064,3.19,11,1,clear,low,11.93,2026-08-11T11:15:00Z
TRIP00014,40.84417,-74.031275,40.834095,-73.971821,13.91,8,5,rain,low,48.68,2026-08-14T08:15:00Z
TRIP00209,40.842718,-73.866186,40.798209,-73.899644,1.77,22,6,cloudy,medium,15.98,2026-08-13T22:15:00Z
TRIP00126,40.816181,-73.82195,40.674179,-73.880103,9.47,18,0,cloudy,high,44.5,2026-08-14T18:15:00Z
TRIP00155,40.849875,-73.972263,40.745093,-74.041425,11.62,6,4,snow,high,56.99,2026-08-15T06:15:00Z
TRIP00494,40.742877,-74.026376,40.631425,-73.864005,19.59,6,2,snow,high,76.36,2026-08-18T06:15:00Z
TRIP00071,40.846885,-74.033497,40.625282,-73.918716,5.58,0,2,snow,medium,33.96,2026-08-15T00:15:00Z
TRIP00055,40.624437,-73.892942,40.814211,-73.944325,10.46,17,6,clear,high,55.95,2026-08-27T17:15:00Z
TRIP00270,40.688258,-73.880408,40.742022,-73.947487,11.87,4,4,snow,low,41.77,2026-08-18T04:15:00Z
TRIP00012,40.671783,-74.027517,40.751945,-73.800886,22.12,0,1,snow,high,76.68,2026-08-12T00:15:00Z
TRIP00316,40.846069,-73.948981,40.787242,-74.043564,11.6,15,4,clear,low,23.31,2026-08-08T15:15:00Z
TRIP00404,40.732502,-74.000047,40.78412,-73.808839,13.04,16,1,cloudy,high,64.04,2026-08-12T16:15:00Z
TRIP00251,40.614832,-74.046647,40.675772,-74.047833,17.81,11,1,clear,low,39.78,2026-08-27T11:15:00Z
TRIP00063,40.610843,-74.033759,40.609914,-73.95934,11.11,18,6,cloudy,high,53.57,2026-08-07T18:15:00Z
TRIP00207,40.694559,-73.909613,40.684637,-73.816905,2.58,21,0,cloudy,low,10.98,2026-08-11T21:15:00Z
TRIP00390,40.659967,-74.012436,40.631113,-73.883193,12.11,9,4,snow,low,46.02,2026-08-26T09:15:00Z
TRIP00170,40.629703,-73.971015,40.686668,-73.936256,10.76,16,2,snow,medium,52.14,2026-08-02T16:15:00Z
TRIP00110,40.756226,-73.80623,40.62714,-74.031957,2.2,7,4,cloudy,medium,23.8,2026-08-26T07:15:00Z
TRIP00540,40.718363,-73.925054,40.641169,-73.922396,22.08,23,3,rain,medium,67.97,2026-08-08T23:15:00Z
TRIP00470,40.801697,-73.922166,40.619371,-73.950308,10.1,9,6,rain,medium,42.84,2026-08-22T09:15:00Z
TRIP00428,40.644263,-73.94261,40.748228,-73.915715,20.26,15,2,rain,low,51.28,2026-08-08T15:15:00Z
TRIP00038,40.776776,-73.971866,40.708152,-73.818069,26.1,3,6,cloudy,medium,70.04,2026-08-10T03:15:00Z
TRIP00258,40.713186,-73.942832,40.741165,-73.958325,2.31,12,0,rain,low,15.28,2026-08-06T12:15:00Z
TRIP00292,40.729546,-73.854803,40.793265,-73.997491,20.24,6,1,clear,low,49.6,2026-08-12T06:15:00Z
TRIP00219,40.756512,-73.888412,40.700756,-73.94129,22.76,19,5,cloudy,low,63.02,2026-08-23T19:15:00Z
TRIP00286,40.619085,-74.022617,40.701302,-73.932409,27.02,4,6,rain,low,69.92,2026-08-06T04:15:00Z
TRIP00562,40.785182,-74.035025,40.804489,-73.89914,19.97,21,2,snow,high,78.11,2026-08-02T21:15:00Z
TRIP00409,40.808568,-73.938039,40.608822,-73.918267,12.79,16,5,cloudy,high,60.14,2026-08-17T16:15:00Z
TRIP00566,40.830585,-73.92758,40.705215,-73.915231,6.2,10,4,snow,medium,32.1,2026-08-06T10:15:00Z
TRIP00560,40.669358,-73.821917,40.684307,-73.905268,3.39,14,3,clear,medium,14.41,2026-08-28T14:15:00Z
TRIP00239,40.687366,-73.960802,40.783147,-73.873567,8.97,19,0,snow,medium,54.42,2026-08-15T19:15:00Z
TRIP00272,40.814572,-73.981469,40.759351,-73.809581,13.14,14,2,rain,low,42.22,2026-08-20T14:15:00Z
TRIP00468,40.744176,-73.829915,40.808744,-73.806457,16.71,18,0,rain,high,72.22,2026-08-20T18:15:00Z
TRIP00052,40.768322,-73.89978,40.835543,-73.932197,8.56,17,0,clear,high,46.98,2026-08-24T17:15:00Z
TRIP00474,40.75169,-73.808554,40.793218,-73.890588,4.23,14,4,clear,high,35.75,2026-08-26T14:15:00Z
BAD001,,-73.9,40.7,-73.8,5,8,1,clear,low,20,2026-08-01T08:00:00Z
TRIP00179,40.646224,-73.983314,40.600553,-73.909675,3.06,6,4,clear,low,11.33,2026-08-11T06:15:00Z
TRIP00417,40.62629,-73.948692,40.68029,-73.900022,1.46,4,1,clear,medium,13.33,2026-08-25T04:15:00Z
TRIP00238,40.706159,-73.929207,40.6337,-73.976711,18.22,2,0,clear,low,43.05,2026-08-14T02:15:00Z
TRIP00097,40.707925,-73.902867,40.798676,-73.846129,1.05,6,4,clear,medium,16.37,2026-08-13T06:15:00Z
TRIP00036,40.608025,-73.850071,40.763509,-73.802172,15.96,3,4,clear,low,43.52,2026-08-08T03:15:00Z
TRIP00306,40.800039,-74.010949,40.625869,-73.934593,2.96,16,2,rain,high,41.35,2026-08-26T16:15:00Z
TRIP00442,40.745025,-73.83746,40.780581,-73.995269,1.05,9,5,clear,low,12.58,2026-08-22T09:15:00Z
TRIP00423,40.797559,-73.809456,40.691121,-73.903216,27.42,8,3,cloudy,medium,75.88,2026-08-03T08:15:00Z
TRIP00120,40.688345,-73.956987,40.61415,-73.914474,17.34,2,6,clear,high,57.24,2026-08-08T02:15:00Z
TRIP00189,40.662018,-73.923419,40.80701,-74.049067,22.44,22,6,clear,medium,60.99,2026-08-21T22:15:00Z
TRIP00102,40.640253,-73.912163,40.778517,-73.870713,10.27,4,6,cloudy,low,22.4,2026-08-18T04:15:00Z
TRIP00351,40.839872,-73.980882,40.836769,-73.867831,14.8,0,6,cloudy,medium,51.66,2026-08-15T00:15:00Z
TRIP00436,40.656245,-73.928834,40.676555,-73.804438,15.63,10,2,rain,high,59.9,2026-08-16T10:15:00Z
TRIP00100,40.77862,-73.889632,40.705791,-73.811972,21.96,10,0,clear,high,66.55,2026-08-16T10:15:00Z
TRIP00479,40.789369,-74.000301,40.707252,-74.027568,15.81,14,6,snow,medium,57.35,2026-08-03T14:15:00Z
TRIP00043,40.798035,-73.888864,40.602349,-74.002796,8.42,21,2,cloudy,medium,29.73,2026-08-15T21:15:00Z
TRIP00118,40.621787,-73.816092,40.702684,-73.951297,13.4,19,2,rain,high,67.93,2026-08-06T19:15:00Z
TRIP00347,40.755873,-73.956129,40.63029,-73.875942,10.49,23,4,rain,low,31.31,2026-08-11T23:15:00Z
TRIP00103,40.672973,-73.950417,40.780533,-73.966137,8.49,21,2,clear,medium,31.07,2026-08-19T21:15:00Z
TRIP00050,40.843794,-73.945915,40.712869,-73.809945,25.64,8,6,cloudy,high,86.06,2026-08-22T08:15:00Z
TRIP00522,40.659849,-74.035011,40.787117,-73.967026,17.29,15,3,snow,low,51.45,2026-08-18T15:15:00Z
TRIP00180,40.666574,-73.962768,40.650598,-74.020697,14.38,6,3,snow,medium,54.25,2026-08-12T06:15:00Z
TRIP00469,40.753767,-73.986922,40.613019,-73.999265,15.32,0,5,snow,high,61.62,2026-08-21T00:15:00Z
TRIP00159,40.761653,-73.825386,40.78893,-73.903665,20.36,1,1,clear,high,60.38,2026-08-19T01:15:00Z
TRIP00196,40.751026,-73.866412,40.631748,-73.852566,25.58,4,6,cloudy,high,81.93,2026-08-28T04:15:00Z
TRIP00502,40.684575,-73.803547,40.751841,-73.815434,25.42,21,4,cloudy,medium,68.53,2026-08-26T21:15:00Z
TRIP00143,40.695076,-74.004246,40.770952,-73.89703,11.04,7,0,snow,low,51.3,2026-08-03T07:15:00Z
TRIP00181,40.72347,-73.842193,40.847654,-74.022699,3.89,2,1,cloudy,medium,16.93,2026-08-13T02:15:00Z
TRIP00106,40.65736,-74.004506,40.811951,-73.857914,23.97,0,1,clear,medium,64.59,2026-08-22T00:15:00Z
TRIP00537,40.81434,-73.888839,40.707011,-74.022969,25.43,14,4,snow,low,70.94,2026-08-05T14:15:00Z
TRIP00171,40.627382,-74.02752,40.729759,-73.937435,17.06,22,1,snow,high,66.58,2026-08-03T22:15:00Z
TRIP00002,40.662857,-73.979589,40.730492,-73.940536,10.51,22,1,snow,high,55.27,2026-08-02T22:15:00Z
TRIP00432,40.664639,-74.0219,40.831697,-73.887954,27.15,15,6,cloudy,medium,70.53,2026-08-12T15:15:00Z
TRIP00304,40.629442,-73.853282,40.753593,-74.005937,7.75,14,5,rain,high,44.26,2026-08-24T14:15:00Z
TRIP00206,40.628059,-73.88758,40.816588,-74.021683,5.61,7,1,clear,medium,31.79,2026-08-10T07:15:00Z
TRIP00250,40.619183,-73.819622,40.838392,-73.886582,24.64,16,2,rain,high,88.29,2026-08-26T16:15:00Z
TRIP00446,40.802125,-73.921143,40.615193,-73.998477,27.4,7,6,rain,low,73.91,2026-08-26T07:15:00Z
TRIP00589,40.619682,-73.857978,40.770408,-73.952559,9.8,18,3,clear,low,32.0,2026-08-01T18:15:00Z
TRIP00448,40.622545,-73.911909,40.648478,-73.832703,3.9,7,5,cloudy,low,23.94,2026-08-28T07:15:00Z
TRIP00319,40.620152,-73.889025,40.716938,-73.931119,13.59,1,3,clear,low,32.27,2026-08-11T01:15:00Z
TRIP00300,40.810552,-73.983117,40.689836,-73.899731,16.1,1,0,rain,low,41.98,2026-08-20T01:15:00Z
TRIP00488,40.796787,-73.947837,40.775102,-73.820478,6.31,1,6,snow,low,32.01,2026-08-12T01:15:00Z
TRIP00119,40.743351,-74.045179,40.705075,-73.921534,8.66,16,5,clear,high,43.78,2026-08-07T16:15:00Z
TRIP00025,40.653539,-73.929696,40.781099,-73.872282,6.42,4,6,cloudy,low,14.87,2026-08-25T04:15:00Z
TRIP00485,40.753585,-73.885617,40.807912,-74.042377,15.68,20,5,clear,low,40.75,2026-08-09T20:15:00Z
TRIP00343,40.696771,-73.827254,40.662772,-73.802445,11.88,20,3,rain,high,54.73,2026-08-07T20:15:00Z
TRIP00076,40.682556,-73.809689,40.631573,-73.810291,22.19,0,0,rain,medium,62.75,2026-08-20T00:15:00Z
TRIP00447,40.817609,-73.87399,40.699311,-73.880612,15.06,13,0,rain,low,42.27,2026-08-27T13:15:00Z
TRIP00223,40.65911,-73.936961,40.804861,-73.980543,26.73,4,1,cloudy,medium,76.29,2026-08-27T04:15:00Z
TRIP00458,40.702107,-73.916509,40.795162,-73.969179,10.83,11,3,snow,low,41.11,2026-08-10T11:15:00Z
TRIP00455,40.705178,-73.838517,40.637708,-73.972823,3.78,23,6,clear,low,19.39,2026-08-07T23:15:00Z
TRIP00202,40.651846,-74.017774,40.799771,-73.911508,22.43,12,2,cloudy,high,75.22,2026-08-06T12:15:00Z
TRIP00585,40.664276,-73.976887,40.7864,-74.012681,14.18,10,3,rain,low,43.88,2026-08-25T10:15:00Z
TRIP00385,40.655559,-73.995586,40.613539,-73.957402,9.32,20,3,clear,high,39.24,2026-08-21T20:15:00Z
TRIP00205,40.81548,-73.839872,40.747123,-73.928288,5.71,10,1,rain,medium,27.72,2026-08-09T10:15:00Z
TRIP00441,40.690576,-73.932517,40.82932,-73.998694,23.56,14,6,snow,low,66.41,2026-08-21T14:15:00Z
TRIP00107,40.710198,-73.838473,40.829328,-73.855932,5.32,0,5,clear,high,34.92,2026-08-23T00:15:00Z
TRIP00443,40.790194,-73.913887,40.605625,-74.0258,18.65,14,6,clear,medium,49.19,2026-08-23T14:15:00Z
TRIP00360,40.826795,-73.936347,40.790494,-73.887478,22.32,23,5,snow,medium,68.8,2026-08-24T23:15:00Z
TRIP00444,40.669484,-73.8374,40.624664,-73.959657,6.15,0,3,clear,high,32.46,2026-08-24T00:15:00Z
TRIP00051,40.73008,-73.993475,40.715331,-73.922489,18.98,18,3,snow,high,84.1,2026-08-23T18:15:00Z
TRIP00217,40.753317,-73.821711,40.634397,-74.041436,9.31,13,0,clear,low,22.2,2026-08-21T13:15:00Z
TRIP00220,40.738658,-74.015198,40.78775,-73.922443,2.33,7,0,rain,high,37.65,2026-08-24T07:15:00Z
TRIP00374,40.709465,-73.861071,40.763648,-73.8494,27.43,2,2,rain,medium,74.0,2026-08-10T02:15:00Z
TRIP00579,40.643389,-73.866543,40.679692,-73.819155,17.31,12,0,cloudy,medium,47.22,2026-08-19T12:15:00Z
TRIP00265,40.810747,-73.958836,40.659886,-73.912599,12.06,16,2,clear,high,56.83,2026-08-13T16:15:00Z
TRIP00232,40.618626,-74.027778,40.709795,-73.950516,14.85,0,4,rain,low,41.41,2026-08-08T00:15:00Z
TRIP00481,40.632095,-74.017271,40.751961,-74.036132,1.76,7,1,cloudy,low,16.9,2026-08-05T07:15:00Z
TRIP00367,40.764037,-74.04561,40.708426,-73.845386,22.57,11,2,cloudy,medium,60.84,2026-08-03T11:15:00Z
TRIP00144,40.820912,-73.913171,40.847721,-73.918854,22.05,3,0,rain,low,52.94,2026-08-04T03:15:00Z
TRIP00317,40.713623,-73.991931,40.787428,-74.018606,26.12,21,6,cloudy,high,70.82,2026-08-09T21:15:00Z
TRIP00019,40.732969,-73.935672,40.760365,-73.925047,18.25,8,2,cloudy,low,54.26,2026-08-19T08:15:00Z
TRIP00487,40.83891,-73.849363,40.753719,-73.837857,4.02,10,2,rain,high,37.67,2026-08-11T10:15:00Z
TRIP00288,40.832674,-74.041432,40.802541,-74.006614,23.31,11,4,rain,medium,66.7,2026-08-08T11:15:00Z
TRIP00395,40.695563,-74.016285,40.805868,-74.032113,18.07,8,0,snow,medium,71.55,2026-08-03T08:15:00Z
TRIP00125,40.648971,-73.807016,40.778564,-74.033538,21.42,17,4,rain,medium,68.5,2026-08-13T17:15:00Z
TRIP00030,40.64701,-73.956108,40.610381,-74.031908,8.28,17,5,snow,low,41.02,2026-08-02T17:15:00Z
TRIP00564,40.667513,-73.909833,40.612463,-73.995413,3.21,7,3,clear,medium,27.96,2026-08-04T07:15:00Z
TRIP00313,40.702762,-73.894218,40.82882,-73.85406,18.06,13,2,cloudy,medium,44.02,2026-08-05T13:15:00Z
TRIP00138,40.653078,-73.837957,40.824435,-73.942283,19.73,12,4,clear,low,44.36,2026-08-26T12:15:00Z
TRIP00003,40.839092,-73.873473,40.70937,-73.812608,18.11,10,3,rain,medium,57.08,2026-08-03T10:15:00Z
TRIP00290,40.743208,-73.881652,40.757455,-73.821047,2.56,13,4,cloudy,high,25.77,2026-08-10T13:15:00Z
TRIP00574,40.821916,-73.940293,40.632872,-73.969135,13.87,14,3,snow,low,42.75,2026-08-14T14:15:00Z
TRIP00508,40.721021,-73.930104,40.828822,-73.930571,24.94,13,3,cloudy,low,61.56,2026-08-04T13:15:00Z
TRIP00150,40.705843,-73.812037,40.662747,-73.925635,19.76,23,2,cloudy,high,67.21,2026-08-10T23:15:00Z
TRIP00252,40.603593,-73.970216,40.811521,-73.882938,27.04,22,5,cloudy,medium,75.38,2026-08-28T22:15:00Z
TRIP00109,40.66289,-73.999163,40.613513,-73.982257,3.74,11,0,clear,high,27.91,2026-08-25T11:15:00Z
TRIP00336,40.713284,-74.03718,40.754547,-73.865506,16.54,18,3,snow,low,65.36,2026-08-28T18:15:00Z
TRIP00192,40.795182,-73.868306,40.711233,-74.042341,10.03,5,3,snow,medium,44.54,2026-08-24T05:15:00Z
TRIP00460,40.816189,-73.878706,40.78493,-74.022643,21.38,20,0,cloudy,high,64.62,2026-08-12T20:15:00Z
TRIP00034,40.754635,-74.024308,40.602834,-73.851239,23.8,19,1,rain,medium,69.57,2026-08-06T19:15:00Z
TRIP00400,40.638899,-73.985922,40.828729,-73.973252,26.78,2,2,clear,low,60.5,2026-08-08T02:15:00Z
TRIP00551,40.751647,-74.030839,40.660736,-73.812491,24.23,22,3,clear,low,52.05,2026-08-19T22:15:00Z
TRIP00024,40.822732,-73.832876,40.714051,-73.972029,20.85,21,0,rain,medium,62.26,2026-08-24T21:15:00Z
TRIP00558,40.652215,-73.909283,40.724109,-73.836446,4.68,13,4,clear,low,13.62,2026-08-26T13:15:00Z
TRIP00430,40.782727,-73.974184,40.782442,-73.883709,13.73,6,6,rain,high,58.07,2026-08-10T06:15:00Z
TRIP00381,40.732639,-73.94033,40.759873,-73.971779,2.78,20,1,clear,medium,10.78,2026-08-17T20:15:00Z
TRIP00414,40.658374,-73.920496,40.803101,-73.829474,16.38,17,6,cloudy,low,52.96,2026-08-22T17:15:00Z
TRIP00391,40.818638,-73.800699,40.775828,-73.936276,12.59,18,5,snow,high,65.85,2026-08-27T18:15:00Z
TRIP00157,40.814035,-73.897824,40.634461,-73.810439,10.12,15,5,clear,medium,30.1,2026-08-17T15:15:00Z
TRIP00556,40.626158,-74.003835,40.703473,-74.047941,19.17,2,2,snow,low,58.63,2026-08-24T02:15:00Z
TRIP00088,40.745258,-73.962487,40.618611,-74.016784,1.66,17,1,rain,low,18.17,2026-08-04T17:15:00Z
TRIP00123,40.664809,-73.996505,40.612869,-73.951747,6.55,2,2,rain,medium,32.61,2026-08-11T02:15:00Z
TRIP00321,40.810845,-74.015253,40.623504,-73.964902,24.33,11,5,snow,medium,76.59,2026-08-13T11:15:00Z
TRIP00164,40.787222,-73.935618,40.835862,-73.957079,11.77,21,2,clear,high,42.67,2026-08-24T21:15:00Z
TRIP00338,40.753795,-73.895945,40.659872,-73.88488,2.49,22,0,clear,low,6.41,2026-08-02T22:15:00Z
TRIP00307,40.625468,-73.974508,40.66097,-73.933296,14.97,15,5,snow,low,49.1,2026-08-27T15:15:00Z
TRIP00530,40.650253,-73.920755,40.696988,-73.941697,21.17,4,0,rain,high,70.34,2026-08-26T04:15:00Z
TRIP00372,40.604173,-73.993537,40.767194,-74.004767,20.28,15,3,cloudy,high,63.81,2026-08-08T15:15:00Z
TRIP00154,40.649223,-73.951643,40.734583,-73.866668,20.31,14,5,snow,high,82.12,2026-08-14T14:15:00Z
TRIP00514,40.608647,-74.039884,40.689627,-73.980432,8.98,23,5,cloudy,high,41.21,2026-08-10T23:15:00Z
